,Type,Symbol,Description,Close,LastWaveStart,LastwaveEnd,LastWavePeriod,LastWaveValueGain,CurrentWaveStart,CurrentPeriod,CurrentValueGain,TRelative,GainRelative,Congruence,P,DeltaN,YieldEst,GainPerDayCurrent,GainPerDayEstimated,Boll-2MA,MA2Boll+
306,commodities,KE=F,"KC HRW Wheat Futures,Mar-2022",818.0,2021-09-10,2021-11-23,74 days,26.87,2022-01-14,10 days,7.58,13.51,28.22,14.71,2.06,64,19.29,75.84,30.14,False,True
307,commodities,ZR=F,"Rough Rice Futures,Mar-2022",1498.0,2021-11-08,2022-01-24,77 days,12.22,2021-12-15,40 days,8.93,51.95,73.11,21.16,3.63,37,3.29,22.33,8.88,False,False
308,commodities,ZM=F,"Soybean Meal Futures,Mar-2022",393.9,2021-04-13,2021-05-12,29 days,11.7,2021-10-12,104 days,24.26,358.62,207.31,151.31,1.38,-75,-12.56,23.32,16.74,True,False
309,commodities,ZL=F,"Soybean Oil Futures,Mar-2022",61.97,2021-09-20,2021-10-20,30 days,14.32,2021-12-14,41 days,15.63,136.67,109.14,27.52,4.11,-11,-1.31,38.12,11.9,False,True
310,commodities,ZS=F,"Soybean Futures,Mar-2022",1403.0,2020-08-10,2021-05-12,275 days,66.25,2021-11-08,77 days,16.7,28.0,25.21,2.79,14.11,198,49.55,21.69,25.02,False,True
311,commodities,GF=F,"Feeder Cattle Futures,Mar-2022",158.48,2021-05-07,2021-11-26,203 days,26.08,2022-01-24,0 days,-1.12,0.0,-4.31,4.31,-1.3,203,27.2,-inf,13.4,True,False
312,commodities,HE=F,"Lean Hogs Futures,Feb-2022",86.32,2021-09-14,2021-10-01,17 days,13.58,2021-12-08,47 days,19.16,276.47,141.11,135.36,1.05,-30,-5.58,40.77,18.61,False,True
313,commodities,LE=F,"Live Cattle Futures,Feb-2022",136.32,2020-10-28,2021-12-29,427 days,29.98,2021-06-01,237 days,17.05,55.5,56.89,1.39,147.24,190,12.92,7.2,6.8,True,False
314,commodities,CC=F,Cocoa Mar 22,2493.0,2021-07-19,2021-10-05,78 days,17.91,2021-11-30,55 days,7.75,70.51,43.25,27.27,1.65,23,10.17,14.08,44.2,True,False
315,commodities,KC=F,Coffee Mar 22,232.95,2021-09-22,2021-12-06,75 days,32.55,2022-01-03,21 days,3.22,28.0,9.9,18.1,0.58,54,29.33,15.34,54.31,True,False
316,commodities,LBS=F,Lumber Mar 22,1098.7,2021-08-19,2022-01-18,152 days,113.15,2021-11-15,70 days,76.17,46.05,67.32,21.26,3.32,82,36.98,108.81,45.1,True,False
